rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,weight,file_rootpath
58684.85780174006,-14814.529613,-11.03,-11.09,0.438368,8868.327153,0.876736,-18.245111,0.876736,48.430618,0.004788,168.126411,0.037963,0.192955,2.3e-05,0.381269,1.9e-05,0.131347,3.6e-05,-4.847318,0.000203,17.360318,1,ESPRE.2019-07-20T08:27:09.748.fits
58684.86055951007,-14816.561039,-11.43,-11.49,0.453069,8867.825116,0.906137,-18.09814,0.906137,48.427904,0.004948,167.470298,0.040444,0.193176,2.4e-05,0.380933,2e-05,0.130719,3.9e-05,-4.850844,0.000218,17.353102,1,ESPRE.2019-07-20T08:31:04.532.fits
58684.86326435022,-14812.434548,-11.81,-11.88,0.441544,8866.408484,0.883088,-18.780317,0.883088,48.425971,0.004823,167.776454,0.038675,0.192752,2.3e-05,0.38107,1.9e-05,0.131012,3.7e-05,-4.849195,0.000208,17.346073,1,ESPRE.2019-07-20T08:35:01.709.fits
58684.86597605981,-14816.4386,-12.2,-12.27,0.437088,8864.565749,0.874176,-17.83889,0.874176,48.43341,0.004776,167.74915,0.037992,0.192903,2.2e-05,0.38122,1.9e-05,0.130986,3.6e-05,-4.849342,0.000204,17.339077,1,ESPRE.2019-07-20T08:38:56.424.fits
58684.86873677,-14815.480921,-12.6,-12.67,0.44385,8868.953002,0.8877,-18.163219,0.8877,48.418847,0.004846,167.451972,0.039187,0.193566,2.3e-05,0.381776,1.9e-05,0.130701,3.8e-05,-4.850943,0.000212,17.332008,1,ESPRE.2019-07-20T08:42:53.609.fits
58684.87146888021,-14815.359589,-12.99,-13.06,0.454799,8866.506898,0.909599,-16.444455,0.909599,48.433228,0.004969,167.758486,0.041154,0.192395,2.4e-05,0.381056,2e-05,0.130995,3.9e-05,-4.849291,0.000221,17.325068,1,ESPRE.2019-07-20T08:46:50.691.fits
58684.874226369895,-14816.169683,-13.39,-13.46,0.451193,8864.703694,0.902386,-16.486,0.902386,48.431833,0.00493,167.85988,0.040631,0.192567,2.3e-05,0.380679,1.9e-05,0.131092,3.9e-05,-4.848747,0.000218,17.31812,1,ESPRE.2019-07-20T08:50:47.866.fits
58684.87696362008,-14816.023198,-13.79,-13.85,0.442146,8865.464024,0.884293,-17.9567,0.884293,48.438432,0.004832,167.38169,0.03932,0.19277,2.3e-05,0.380781,1.9e-05,0.130634,3.8e-05,-4.851322,0.000212,17.311282,1,ESPRE.2019-07-20T08:54:44.967.fits
58684.87968072016,-14818.589632,-14.18,-14.24,0.446639,8866.66901,0.893278,-16.086902,0.893278,48.435176,0.00488,168.054705,0.040207,0.193005,2.3e-05,0.381274,1.9e-05,0.131278,3.9e-05,-4.847702,0.000215,17.304554,1,ESPRE.2019-07-20T08:58:39.753.fits
58684.88236409007,-14818.307664,-14.56,-14.63,0.449917,8866.821514,0.899833,-19.175622,0.899833,48.424141,0.004914,167.412595,0.040623,0.192685,2.3e-05,0.381953,1.9e-05,0.130663,3.9e-05,-4.851155,0.000219,17.297969,1,ESPRE.2019-07-20T09:02:34.236.fits
58684.8851419501,-14819.564033,-14.96,-15.03,0.460155,8863.97129,0.92031,-15.685285,0.92031,48.444089,0.00503,167.783704,0.042906,0.192657,2.4e-05,0.380918,2e-05,0.131019,4.1e-05,-4.849156,0.000231,17.291217,1,ESPRE.2019-07-20T09:06:31.393.fits
58684.88785453979,-14816.991932,-15.35,-15.42,0.442823,8862.774796,0.885646,-16.76161,0.885646,48.437411,0.00484,167.914121,0.039926,0.193156,2.3e-05,0.381367,1.9e-05,0.131144,3.8e-05,-4.848455,0.000214,17.28469,1,ESPRE.2019-07-20T09:10:26.231.fits
58684.8906117999,-14819.75789,-15.75,-15.81,0.447267,8867.653787,0.894535,-17.19396,0.894535,48.429071,0.004885,167.714554,0.040749,0.193194,2.3e-05,0.381015,1.9e-05,0.130953,3.9e-05,-4.849528,0.000219,17.278122,1,ESPRE.2019-07-20T09:14:23.379.fits
58684.89331649011,-14819.353967,-16.14,-16.2,0.434375,8864.374,0.868749,-17.667558,0.868749,48.432903,0.004747,167.393428,0.038705,0.193411,2.2e-05,0.382188,1.8e-05,0.130645,3.7e-05,-4.851259,0.000209,17.271747,1,ESPRE.2019-07-20T09:18:17.957.fits
58684.89602647023,-14820.585305,-16.53,-16.59,0.460141,8865.784754,0.920282,-16.53305,0.920282,48.43421,0.005028,167.738407,0.043186,0.193072,2.4e-05,0.381848,2e-05,0.130975,4.1e-05,-4.849399,0.000232,17.26543,1,ESPRE.2019-07-20T09:22:15.122.fits
58684.89881082019,-14821.302962,-16.93,-16.99,0.459997,8861.994762,0.919994,-19.285598,0.919994,48.433947,0.005028,167.367819,0.043348,0.193176,2.4e-05,0.381496,2e-05,0.130621,4.2e-05,-4.851397,0.000234,17.259012,1,ESPRE.2019-07-20T09:26:12.299.fits
58684.901532640215,-14820.990222,-17.32,-17.38,0.463867,8865.939329,0.927734,-20.672777,0.927734,48.42851,0.005068,167.43044,0.044429,0.19335,2.4e-05,0.381515,2e-05,0.13068,4.3e-05,-4.851059,0.00024,17.252813,1,ESPRE.2019-07-20T09:30:09.380.fits
